id,bubble_id,category,name,exercise_slug,slug,creator,commercial_gym,crossfit_hyrox_gym,decent_home_gym,minimal_equipment,no_equipment,created_at,updated_at,raw_json
daf116cc-6873-4b3e-bfa1-06ce435608b6,1771082757589x926227836403144000,Sled / Hyrox-specific,sled,sled,NULL,(App admin),False,True,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""sled"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Sled / Hyrox-specific"", ""unique_id"": ""1771082757589x926227836403144000"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""sled"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""no"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
e93a24c7-9c30-47eb-b402-03b41177957f,1771082757597x810736407551822800,Sled / Hyrox-specific,wall ball,wall_ball,NULL,(App admin),False,True,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""wall ball"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Sled / Hyrox-specific"", ""unique_id"": ""1771082757597x810736407551822800"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""wall_ball"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""no"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""yes""}"
77a61633-233b-4246-a8bd-932284709f20,1771082757604x181203354817088830,Strength machine,cable machine,cable,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""cable machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757604x181203354817088830"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""cable"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
153c94c3-52d4-4ed2-8d8f-167e20050c8c,1771082757612x448117197273443260,Strength machine,calf raise machine,calf_machine,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""calf raise machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757612x448117197273443260"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""calf_machine"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
14eebcf1-c8e0-41df-b96c-64267a4bfff2,1771082757618x974313939167615500,Strength machine,chest press machine,chest_press,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""chest press machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757618x974313939167615500"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""chest_press"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
ef5902fc-18c7-4a1a-8145-f10d56e65dac,1771082757625x872159162825447700,Strength machine,pec deck,pec_deck,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""pec deck"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757625x872159162825447700"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""pec_deck"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
227e176d-3e6d-459d-b8ca-08e9c80d4f99,1771082757632x640436115607357000,Strength machine,leg curl machine,leg_curl,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""leg curl machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757632x640436115607357000"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""leg_curl"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
eb0dee73-9c5c-4b38-bbd4-1d789f0c1e0f,1771082757640x191630518865631550,Strength machine,leg press machine,leg_press,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""leg press machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757640x191630518865631550"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""leg_press"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
0819f956-47cb-419d-8451-9496387f8e6d,1771082757647x864989675382407200,Strength machine,quad extension machine,leg_extension,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""quad extension machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757647x864989675382407200"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""leg_extension"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
ef5d5efa-bc42-4cf5-965f-b06caedb2d1d,1771082757654x425859392337180500,Strength machine,lat pulldown,lat_pulldown,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""lat pulldown"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757654x425859392337180500"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""lat_pulldown"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
e2918b11-3fdf-46ef-8acb-462cd8a3e381,1771082757661x347316869190645200,Strength machine,shoulder press machine,shoulder_press,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""shoulder press machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757661x347316869190645200"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""shoulder_press"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
57dc6566-871e-468f-b83f-809511dde861,1771082757668x328813685294877950,Strength machine,hack squat machine,hack_squat,NULL,(App admin),True,False,False,False,False,2026-02-14 15:25:00+00,2026-02-14 15:25:00+00,"{""name"": ""hack squat machine"", ""slug"": """", ""creator"": ""(App admin)"", ""category"": ""Strength machine"", ""unique_id"": ""1771082757668x328813685294877950"", ""no_equipment"": ""no"", ""creation_date"": ""Feb 14, 2026 3:25 pm"", ""exercise_slug"": ""hack_squat"", ""modified_date"": ""Feb 14, 2026 3:25 pm"", ""commercial_gym"": ""yes"", ""decent_home_gym"": ""no"", ""minimal_equipment"": ""no"", ""crossfit_hyrox_gym"": ""no""}"
